electricity,sqft,retrofit,temp
466.8233227966749,779.0,1.0,79.15
488.89417205592423,745.0,1.0,80.69
494.78428841809585,959.0,1.0,82.38
504.28910252940517,805.0,1.0,80.41
509.4253609391779,730.0,1.0,78.74
514.5533496942902,926.0,1.0,78.47
518.1853062465515,933.0,0.0,81.56
519.8165610079632,831.0,1.0,75.6
525.1219281265786,909.0,1.0,76.54
528.0817636073763,828.0,1.0,80.53
528.6987912043345,972.0,0.0,80.0
529.3693141123292,883.0,0.0,80.81
533.1715956361198,814.0,1.0,79.1
533.9593224247088,798.0,1.0,80.88
543.1248282876621,841.0,1.0,80.25
543.2145342759899,889.0,1.0,81.95
544.4380394561022,771.0,1.0,79.52
546.6628542701797,847.0,1.0,80.56
549.155281250017,919.0,1.0,79.29
549.3134986824949,1144.0,1.0,80.31
549.7857930276601,901.0,1.0,77.83
551.0084655227258,986.0,1.0,80.21
551.6261166738803,742.0,0.0,79.4
555.2080479954349,945.0,1.0,79.51
557.6120570973486,824.0,1.0,76.88
558.7403321656172,812.0,0.0,79.68
562.3761360802894,989.0,1.0,81.28
567.3062075445855,1059.0,1.0,80.73
569.423850963085,904.0,1.0,80.85
571.3393095716293,850.0,1.0,84.46
574.5865712906999,940.0,0.0,79.31
574.9485616965974,1018.0,1.0,79.85
575.8223502097568,926.0,1.0,78.05
578.6894608037826,816.0,0.0,84.39
578.8922285204834,903.0,1.0,79.57
579.3983502979971,797.0,1.0,81.85
580.5971727641247,1045.0,1.0,78.04
580.9962183101537,914.0,1.0,79.3
582.5866688329234,858.0,1.0,82.64
583.6249883457571,889.0,1.0,80.45
585.3816539223328,873.0,1.0,79.8
587.322103905272,854.0,1.0,78.55
588.570164185053,878.0,1.0,81.76
589.4711329310717,923.0,1.0,78.04
589.4960228084465,963.0,1.0,82.57
590.0596114718226,776.0,1.0,81.43
591.1016510953631,976.0,1.0,80.28
592.9719808673276,896.0,1.0,82.05
595.4561942684137,911.0,0.0,78.89
596.0594530016601,901.0,0.0,76.35
596.4968144048877,976.0,0.0,78.43
596.8768535915312,867.0,0.0,81.3
597.8672369909943,897.0,1.0,81.36
598.9053932822319,989.0,0.0,78.48
602.129855099159,898.0,1.0,79.31
602.926350341238,1101.0,1.0,76.32
605.064616126456,927.0,1.0,76.43
609.8426827014415,922.0,1.0,84.64
612.8161981232489,913.0,1.0,78.06
613.880292484842,890.0,1.0,78.42
