firm,firmsize,treated,shrimp1,shrimp2,shrimp3,shrimp4,shrimp5,shrimp6,shrimp7,shrimp8,shrimp9,shrimp10,shrimp11,shrimp12,shrimp13,shrimp14,shrimp15,shrimp16,shrimp17,shrimp18,shrimp19,shrimp20,shrimp21,shrimp22,shrimp23,shrimp24,salmon1,salmon2,salmon3,salmon4,salmon5,salmon6,salmon7,salmon8,salmon9,salmon10,salmon11,salmon12,salmon13,salmon14,salmon15,salmon16,salmon17,salmon18,salmon19,salmon20,salmon21,salmon22,salmon23,salmon24,bycatch1,bycatch2,bycatch3,bycatch4,bycatch5,bycatch6,bycatch7,bycatch8,bycatch9,bycatch10,bycatch11,bycatch12,bycatch13,bycatch14,bycatch15,bycatch16,bycatch17,bycatch18,bycatch19,bycatch20,bycatch21,bycatch22,bycatch23,bycatch24
1.0,15.0,0.0,141549.7395434114,134325.07377680377,139408.53704336038,137089.64062184343,139124.96415995926,138326.70151840465,143985.95902927013,141767.65525969374,136637.21895349602,134412.74520691452,139975.16325466565,133200.07082967213,141131.15174768382,141069.79445016614,143796.94229804445,135799.34058089845,142769.51173795437,140787.74905510098,145690.8014812314,137487.97429530002,144010.82310006538,139557.95168316975,145642.88953778727,143973.6943529111,233920.106237188,234200.42560375866,234390.03773507415,233701.97957383236,233756.44924548097,234638.39357142805,233787.71296967144,234666.56431371122,234993.41131963782,234892.2786147331,235182.4824088116,235217.5695958777,235147.48855658172,235772.21020479823,235340.8595296863,235780.79948119094,235496.830335078,236267.66964557057,235710.93000344862,236922.63876997604,236684.20957295084,236468.88578439687,237427.6786494103,236743.686753521,258590.7540920096,251499.39137443705,256656.99934472542,253999.2687928808,256069.28118255205,255716.06899566305,260952.78661830525,259168.50971425898,254205.39300311642,251924.56697924234,257627.47111232532,250882.7512096983,258765.37167623444,259029.54817776824,261532.11612969515,253762.494670624,260595.61454720906,258999.0057814486,263622.10266642744,256028.31695562293,262420.4609714881,257854.12443244416,264424.3949632156,262402.54442963446
2.0,4.0,0.0,31602.935851438713,33156.70955620103,30269.226226701696,31556.5080240035,32358.865565942735,32991.730934222265,33857.46406264278,33865.99124817496,32241.819902406005,31730.96112848209,32272.940355162234,32886.714727343766,32819.12200531951,34095.24261569606,32956.72946204888,33391.009668224426,33485.0244096417,31787.66856695682,32657.781712125092,33475.01296939071,31538.435176158506,33740.53476582917,35711.05890783498,34460.25861383144,62081.67581102113,62242.50398404396,62019.605264190846,62238.17999602604,62262.384679449075,62334.74831600181,62470.75831957038,62616.308266145745,62584.58527595161,62714.379389419206,62783.95918935298,62752.25861482196,62535.68347388704,63047.52274594461,62860.19857434684,63045.945511020116,62892.12293867153,62958.34240183323,63180.27866925543,63091.38962483254,63499.98812544352,63339.34998100749,63477.87362037903,63363.22517373635,62770.883309420446,64408.288580533605,61419.54368520356,62815.44032876516,63606.64228909634,64309.025816873735,65224.63496476039,65325.524821461,63675.701223550226,63217.43690671795,63806.61444118068,64400.016399343105,64229.49302742836,65756.26919693929,64523.37574233391,65037.68517370134,65055.48337121438,63394.07315076344,64377.25270655523,65145.167505050056,63435.46762988225,65534.71309379874,67586.05276899564,66276.71836113695
3.0,13.0,0.0,120138.57929729506,116622.98337166119,116040.81862451833,109120.56284759578,112038.89446381446,118470.74745487241,121278.78287498008,114131.48522401201,119539.23815014891,116251.22857190476,118662.89087446174,115319.97563586698,113535.01192120621,117539.36453332454,115158.2596614181,118456.89251958218,118379.42071065298,115575.31470921903,112674.29747075788,114789.77832852701,116854.54758294145,119698.70128668495,122320.36616923638,118534.69480985633,190780.38629727738,191146.15638715707,190901.17669393547,192107.7120600314,191614.89740621086,192376.45882318926,191571.5400511429,192463.91591524644,192312.16138867743,192190.05709239686,192616.9713639371,192723.27048056154,192189.57097902682,193170.4362216015,192561.00016992568,193439.9539257917,193302.03780002505,193783.40071570346,193088.55064911323,193548.47997874176,193774.6212163369,194264.61239608805,193508.31802512633,193532.08568704504,215556.64461577885,212237.8506584918,211510.89713062474,205195.20658770323,207865.09312365294,214678.05583194384,217092.71273579163,210367.07944224082,215721.33385256623,212354.34192618696,215005.3217913141,211708.53733171447,209667.88672274537,214149.538450317,211475.27587426433,215215.71187812436,215052.65210794043,212491.74284235825,209245.15057079677,211594.01229428023,213787.2980839994,216854.23558046672,219106.49788408005,215331.24280736462
4.0,7.0,1.0,63118.19160155645,63648.39967512324,61308.85969880882,64191.59543553468,63379.163819909,62006.249257040974,62633.679431211676,60970.52432052642,65450.73839485972,63441.61789677163,64455.09289190296,62989.309325223956,63810.13229607682,64965.3288088953,62194.84308042043,64957.48137661318,65736.21247908821,62944.52479521047,64001.521634408455,65010.083651463014,65314.976160999744,65462.31893820263,63405.78053212487,67843.74510896104,105396.00857529264,105261.53860710547,105339.42990902589,105713.53762042071,105545.3483256795,105936.24595651166,106043.56557382901,106143.99958658415,106194.39773469334,106237.8907181417,106548.56011926153,106425.04982137094,106340.52213989821,106539.63260716699,106889.2904538463,106970.84637865827,106865.49733514655,107056.11021964898,106758.77353702854,106785.03965669563,106889.55577754897,106976.26056020216,107483.17675739777,107272.48337403113,115988.9450945951,116428.64509363017,114153.4661302363,117219.480448316,116306.29626743948,115138.94862579224,115814.06891136033,114222.21878625038,118724.97435208136,116734.54666676465,117921.1136332105,116380.18795615996,117148.62276424415,118401.72581802374,115808.10662497663,118627.07080120334,119334.42134160004,116645.23940790063,117543.97475644342,118585.1169547622,118935.63379563451,119116.96533651919,117299.85727250848,121644.67410349389
5.0,13.0,1.0,69647.19632514821,69514.57504904272,70000.00115202865,75534.0407394068,73081.73589535448,64801.10216782955,69407.59789053186,64475.86180852465,66405.29137017725,72572.57748478065,63950.10471203363,71792.08919700356,66401.93007758162,76010.2172855042,73420.51194537645,76642.71892641841,71649.33649509419,74910.40457580927,77192.92830277173,69277.8252985277,71096.00723118066,72567.66041669981,71315.84208890103,73955.9518620871,201627.1641766882,201824.22489745883,201316.5020577732,202148.6126991075,201986.03460385496,202643.50872893422,202419.96798770496,202817.67641033288,202809.95314701227,202219.32084076112,203704.920940553,202822.3338406744,203580.64004095955,203908.76538039942,203810.00475638112,203607.33409885206,204148.37616617742,204212.78259464703,204683.28858834482,204372.53081445186,204462.5693738301,205339.1603451243,204851.26955052494,204801.49038320765,170494.0889970403,170437.21076359585,170705.00191337298,176645.41206838706,174117.08867462457,166170.59660172535,170640.90726042847,165922.9602458161,167844.48024751327,173716.5830500991,165843.55586865934,173246.72149980982,168197.8156501789,177988.26514314683,175358.51142076103,178486.3941180238,173754.15447444338,177044.31593918757,179561.3389863058,171491.20022472244,173365.49552909075,175270.52572299578,173767.88837836758,176373.86413748658
6.0,14.0,0.0,88901.95587143539,91455.33332925983,95370.85933721159,93487.95790181575,87395.86781038642,89603.27219644614,90996.56581792809,84759.8243418935,88511.03434201288,92859.86275928418,86318.45217353952,92956.86440338344,95779.6040054168,91536.75219479781,90562.57619702132,92218.86780071157,94711.28883209892,88564.91378184383,90971.15926744105,90465.10059809702,92966.80117861647,94418.97744176138,93207.99872882148,94765.64059870529,210430.19429009457,209047.37616765135,209296.6219935775,210000.05137514058,209346.1118078156,210113.32144584405,210356.85197679375,209951.85955917597,210972.75084664283,210905.04690144336,210361.67143594785,210632.94974697748,210387.41542068616,211177.36087316103,210682.61157710355,211440.43312898136,211479.098951399,211838.259547208,211945.7035516989,211943.45440704827,211741.166721296,211936.68173928017,211546.77572004966,211852.8122355178,194163.05286056863,196038.15775008642,200065.84140754494,198539.69221890465,192109.0657667251,194740.87730811507,196226.08494095595,189792.1319641944,194045.4280352416,198367.57516254054,191568.590457395,198324.43897228024,201030.6582858857,197188.95027216317,195962.47169545485,198006.37786110264,200506.95745023937,194523.49409596363,197002.5232580768,196492.2070636742,198895.02855866653,200456.03849659205,199034.81435025344,200758.49644693753
7.0,2.0,0.0,12648.48013651954,12699.614287271432,12794.632979846794,12741.782143847573,12552.552386307281,13100.316982519354,13296.094927747983,12119.603183695905,13256.701138923061,13660.520156050976,13167.083174801352,13127.322043352291,13690.39655590918,12688.568314015121,13099.037824975372,13358.492802341778,13681.663394667807,13401.173115631873,13019.704728356335,14556.432728291396,13278.196807041555,14148.558972203142,12977.672256772004,13169.823114725343,30503.709250623222,30457.62277036111,30614.820151342894,30559.157602434927,30735.112358585007,30667.29077515792,30723.02572701487,30694.474489728826,30787.013230092543,30688.382063603385,30797.905369196986,30750.766559896852,30826.873170397088,30986.134170109395,30871.80985547191,30895.667444541603,30903.446740934283,30903.37235696124,30935.638388516625,30956.87650103479,31030.970531552925,30995.389628066914,31109.091157866427,31072.50690368818,28049.706993129334,28091.399444716197,28256.931580328448,28169.76813483969,28073.093315332313,28611.58178223807,28817.385401552827,27621.038074814045,28802.693878039627,29162.943522099806,28732.31168511294,28674.379087798174,29255.753641819512,28346.20080493351,28688.724613818966,28970.335380161825,29292.71879712805,29010.995753321706,28639.41756088166,30191.60509317147,28954.4477877265,29811.723727467474,28692.837720806652,28850.416173271395
8.0,11.0,0.0,72608.97155060233,77897.62651371455,75125.42906820717,72040.06356280594,76967.34631029233,78474.05030889645,75937.96101981225,79053.73876009409,72232.86222399681,77313.35544357222,82791.84622402335,80093.51772946671,76702.64871991232,75772.0422653586,75215.74720600255,74512.05162311415,76099.67524152053,79192.13763366715,78296.42494622151,80574.18825868709,76676.10232158977,79222.28127102256,78728.94564742752,75895.28682463852,169786.43977045562,170294.06637779038,170286.5387784986,170801.174936368,170954.66906744282,171174.64874534932,171545.90419480327,170726.30028743786,172024.83513416306,171362.7833582114,172339.3905889094,171917.47024919445,172044.05267262628,171845.00405740118,171911.19677874199,172166.20832309304,171851.60319834505,172110.53254744658,173317.33502066403,172562.60863854658,172962.12792684304,173503.357379046,173075.80827940008,173372.02420732303,157603.66739451987,163129.68296777937,160360.3147517345,157545.13556929183,162551.73410655122,164159.23808907933,161816.91033024198,164515.90540431073,158355.60207843842,163104.48926424983,169072.64524955084,166146.1125031135,162840.9050811156,161790.01406478346,161255.01988722789,160701.0119438894,162123.26728972807,165350.84156341312,165068.5187532115,166954.13174300035,163267.88291398648,166085.97231032353,165350.30164153452,162683.12620358073
9.0,9.0,1.0,64671.16852529752,69222.3830748477,67323.5685387871,66234.56914397136,69354.24114813836,69170.6454484191,66802.05334721987,70209.93267585096,65849.4179878431,69840.0684415707,70559.1215961798,69617.93615719849,69324.68212852505,68266.00902350958,71595.1300638434,67941.62818891481,72167.91457509274,69025.96644688434,71336.98481218051,71532.09699338101,67869.50769572145,70751.79806796685,67870.52706242831,72149.25283029779,138541.21142884056,138388.40716291216,138048.94962000966,138363.66431975586,138636.41235911867,138775.62062478127,138852.93514425226,138889.01460111933,139295.51281120302,139258.26247813203,139262.91182218268,139814.42395285863,139280.72158257067,139909.45612493914,139546.69481305828,139778.79765669693,140099.5788926705,140250.19879862625,140271.54156888236,140315.10276467688,140239.21284513394,140326.80565442157,140445.4331758991,140228.68156569754,134030.23191292674,138514.47635084845,136432.94229150488,135507.7569011151,138763.98182897066,138654.05468616958,136333.88533840072,139757.14849353305,135592.50825408642,139549.98435438704,140307.86426852262,139606.8187695952,139046.92767779887,138300.7459357004,141459.2393514619,137907.8735823853,142312.39501191743,139245.1223219249,141559.1626864184,141784.82875745514,138084.125417557,141003.87967987254,138201.6369068721,142359.66692917328
10.0,11.0,1.0,71602.74431774931,69545.46988691283,70278.49153233394,66298.06900604228,69024.9513939534,70025.1031317588,69180.63960677896,67477.98015350348,63259.5878427359,69323.88290408607,71654.65333708555,72760.9700030954,70042.51108977693,73955.66889829162,68937.77141872408,73913.54925699614,71745.54559032174,69579.8053004911,74052.86710327188,73746.86749864477,74807.66898947788,77222.54329908568,69937.920594954,73453.72629423933,167131.20023785622,167529.08179798114,167189.61913609074,167890.62090031803,168543.027990037,168244.65500708317,168218.52243534918,169029.00328651915,168163.4059424568,168120.51406074723,168291.39650318757,168812.59068581092,168704.1177440236,168588.5083290835,169374.93789609647,169654.65269422077,169220.7712172322,169990.47571871066,169146.25267934485,169987.71910521714,169882.65645788022,170224.7523944691,170237.49157515878,170583.53099828796,155295.6789437604,153424.91130490912,154006.18127340748,150382.03573684063,153423.80148823385,154263.6011219469,153404.7241765327,152127.9562871789,147463.31546843614,153505.19251227705,155924.547373513,157265.06482228727,154510.26941796238,158363.42075527948,153745.44407375297,158875.03230463943,156476.77416650986,154697.02371563716,158740.66253898243,158850.35095561424,159868.0312936107,162460.29541073582,155179.5645790759,158874.85901081332
